,ID,Income.Group
0,32562,<=50k
1,32563,<=50k
2,32564,<=50k
3,32565,<=50k
4,32566,<=50k
5,32567,<=50k
6,32568,<=50k
7,32569,<=50k
8,32570,<=50k
9,32571,<=50k
10,32572,>50k
11,32573,<=50k
12,32574,<=50k
13,32575,<=50k
14,32576,<=50k
15,32577,<=50k
16,32578,<=50k
17,32579,<=50k
18,32580,<=50k
19,32581,<=50k
20,32582,<=50k
21,32583,<=50k
22,32584,<=50k
23,32585,<=50k
24,32586,<=50k
25,32587,>50k
26,32588,<=50k
27,32589,<=50k
28,32590,<=50k
29,32591,<=50k
30,32592,<=50k
31,32593,<=50k
32,32594,<=50k
33,32595,<=50k
34,32596,<=50k
35,32597,>50k
36,32598,<=50k
37,32599,<=50k
38,32600,<=50k
39,32601,<=50k
40,32602,>50k
41,32603,<=50k
42,32604,<=50k
43,32605,<=50k
44,32606,<=50k
45,32607,<=50k
46,32608,<=50k
47,32609,>50k
48,32610,<=50k
49,32611,<=50k
50,32612,<=50k
51,32613,<=50k
52,32614,<=50k
53,32615,<=50k
54,32616,<=50k
55,32617,<=50k
56,32618,<=50k
57,32619,<=50k
58,32620,<=50k
59,32621,<=50k
60,32622,<=50k
61,32623,<=50k
62,32624,<=50k
63,32625,<=50k
64,32626,<=50k
65,32627,<=50k
66,32628,<=50k
67,32629,<=50k
68,32630,<=50k
69,32631,<=50k
70,32632,>50k
71,32633,<=50k
72,32634,<=50k
73,32635,<=50k
74,32636,<=50k
75,32637,<=50k
76,32638,<=50k
77,32639,<=50k
78,32640,<=50k
79,32641,<=50k
80,32642,<=50k
81,32643,<=50k
82,32644,<=50k
83,32645,<=50k
84,32646,<=50k
85,32647,<=50k
86,32648,<=50k
87,32649,>50k
88,32650,<=50k
89,32651,<=50k
90,32652,<=50k
91,32653,<=50k
92,32654,<=50k
93,32655,>50k
94,32656,<=50k
95,32657,<=50k
96,32658,<=50k
97,32659,<=50k
98,32660,>50k
99,32661,<=50k
100,32662,<=50k
101,32663,<=50k
102,32664,<=50k
103,32665,<=50k
104,32666,<=50k
105,32667,<=50k
106,32668,<=50k
107,32669,<=50k
108,32670,<=50k
109,32671,<=50k
110,32672,<=50k
111,32673,<=50k
112,32674,<=50k
113,32675,<=50k
114,32676,<=50k
115,32677,<=50k
116,32678,<=50k
117,32679,<=50k
118,32680,<=50k
119,32681,<=50k
120,32682,<=50k
121,32683,<=50k
122,32684,<=50k
123,32685,<=50k
124,32686,<=50k
125,32687,<=50k
126,32688,<=50k
127,32689,<=50k
128,32690,<=50k
129,32691,<=50k
130,32692,<=50k
131,32693,<=50k
132,32694,<=50k
133,32695,<=50k
134,32696,<=50k
135,32697,<=50k
136,32698,<=50k
137,32699,<=50k
138,32700,<=50k
139,32701,<=50k
140,32702,<=50k
141,32703,<=50k
142,32704,<=50k
143,32705,<=50k
144,32706,<=50k
145,32707,<=50k
146,32708,<=50k
147,32709,<=50k
148,32710,<=50k
149,32711,<=50k
150,32712,<=50k
151,32713,<=50k
152,32714,<=50k
153,32715,<=50k
154,32716,<=50k
155,32717,<=50k
156,32718,<=50k
157,32719,<=50k
158,32720,<=50k
159,32721,<=50k
160,32722,<=50k
161,32723,<=50k
162,32724,<=50k
163,32725,<=50k
164,32726,<=50k
165,32727,<=50k
166,32728,<=50k
167,32729,<=50k
168,32730,<=50k
169,32731,<=50k
170,32732,<=50k
171,32733,<=50k
172,32734,<=50k
173,32735,>50k
174,32736,<=50k
175,32737,<=50k
176,32738,<=50k
177,32739,<=50k
178,32740,<=50k
179,32741,<=50k
180,32742,<=50k
181,32743,<=50k
182,32744,<=50k
183,32745,<=50k
184,32746,<=50k
185,32747,<=50k
186,32748,>50k
187,32749,<=50k
188,32750,<=50k
189,32751,<=50k
190,32752,<=50k
191,32753,<=50k
192,32754,<=50k
193,32755,<=50k
194,32756,<=50k
195,32757,<=50k
196,32758,<=50k
197,32759,<=50k
198,32760,<=50k
199,32761,<=50k
200,32762,>50k
201,32763,<=50k
202,32764,>50k
203,32765,<=50k
204,32766,<=50k
205,32767,<=50k
206,32768,<=50k
207,32769,<=50k
208,32770,<=50k
209,32771,<=50k
210,32772,<=50k
211,32773,<=50k
212,32774,<=50k
213,32775,<=50k
214,32776,<=50k
215,32777,<=50k
216,32778,<=50k
217,32779,<=50k
218,32780,<=50k
219,32781,<=50k
220,32782,<=50k
221,32783,<=50k
222,32784,<=50k
223,32785,<=50k
224,32786,>50k
225,32787,<=50k
226,32788,<=50k
227,32789,<=50k
228,32790,<=50k
229,32791,>50k
230,32792,<=50k
231,32793,<=50k
232,32794,<=50k
233,32795,<=50k
234,32796,>50k
235,32797,<=50k
236,32798,>50k
237,32799,<=50k
238,32800,<=50k
239,32801,<=50k
240,32802,<=50k
